Origin,Destination,auto,transit,bike,walk,others,Total_flows,X_Org,Y_Org,X_Dest,Y_Dest
1128.05,1130.11,0.0,0.0,0.0,0.0,0.0,0.0,-111.86136910399999,40.535781958499996,-111.94344956,40.5508508861
1128.05,1131.05,20.0,0.0,0.0,0.0,0.0,20.0,-111.86136910399999,40.535781958499996,-112.11799308799999,40.525950728000005
1128.05,1128.16,50.0,0.0,0.0,0.0,0.0,50.0,-111.86136910399999,40.535781958499996,-111.86946193200001,40.505817353400005
1128.05,1130.14,40.0,0.0,0.0,0.0,0.0,40.0,-111.86136910399999,40.535781958499996,-111.94846811200001,40.5308388373
1128.05,1130.2,20.0,0.0,0.0,0.0,0.0,20.0,-111.86136910399999,40.535781958499996,-111.99405361,40.551548854699995
1128.1,1130.11,70.0,0.0,0.0,0.0,0.0,70.0,-111.93998765399999,40.4779393131,-111.94344956,40.5508508861
1128.1,1128.19,80.0,0.0,0.0,0.0,0.0,80.0,-111.93998765399999,40.4779393131,-111.88006962600001,40.5140635727
1128.1,1128.18,20.0,0.0,0.0,0.0,0.0,20.0,-111.93998765399999,40.4779393131,-111.901426578,40.4952724011
1128.1,1130.2,70.0,0.0,0.0,0.0,0.0,70.0,-111.93998765399999,40.4779393131,-111.99405361,40.551548854699995
1128.1,1128.05,20.0,0.0,0.0,0.0,0.0,20.0,-111.93998765399999,40.4779393131,-111.86136910399999,40.535781958499996
1128.1,1128.21,20.0,0.0,0.0,0.0,0.0,20.0,-111.93998765399999,40.4779393131,-111.84131474799999,40.4979086579
1128.1,1146.0,40.0,0.0,0.0,15.0,0.0,55.0,-111.93998765399999,40.4779393131,-111.927991851,40.518957980100005
1128.1,1130.19,90.0,0.0,0.0,0.0,0.0,90.0,-111.93998765399999,40.4779393131,-111.96976725200001,40.549554590999996
1128.1,1128.15,20.0,0.0,0.0,0.0,0.0,20.0,-111.93998765399999,40.4779393131,-111.79691893299999,40.5295233107
1128.1,1128.04,0.0,0.0,0.0,0.0,0.0,0.0,-111.93998765399999,40.4779393131,-111.862777239,40.5515369657
1128.1,1128.23,120.0,0.0,0.0,0.0,0.0,120.0,-111.93998765399999,40.4779393131,-111.880345644,40.5350877531
1128.1,1128.2,0.0,0.0,0.0,0.0,0.0,0.0,-111.93998765399999,40.4779393131,-111.879865905,40.4794072388
1128.1,1131.05,50.0,0.0,0.0,0.0,0.0,50.0,-111.93998765399999,40.4779393131,-112.11799308799999,40.525950728000005
1128.1,1130.16,100.0,0.0,0.0,0.0,0.0,100.0,-111.93998765399999,40.4779393131,-111.975449825,40.5114696296
1128.1,1128.16,80.0,0.0,0.0,0.0,0.0,80.0,-111.93998765399999,40.4779393131,-111.86946193200001,40.505817353400005
1128.1,1130.13,60.0,0.0,0.0,0.0,0.0,60.0,-111.93998765399999,40.4779393131,-111.97543690200001,40.5295980976
1128.1,1128.1,240.0,0.0,0.0,30.0,399.0,669.0,-111.93998765399999,40.4779393131,-111.93998765399999,40.4779393131
1128.1,1128.17,390.0,0.0,0.0,0.0,0.0,390.0,-111.93998765399999,40.4779393131,-111.90526891399999,40.5305236091
